task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
0,2821,12479,1578,9,0.009,441,0.441,0;1;3;9;11;13;16;20;22;27;32;33;34;38;41;46;50;53;57;58;61;65;69;80;85;86;89;92;94;96
1,2140,8078,1041,0,0.0,515,0.515,12;13;17;26;28;35;37;43;46;56;63;64;65;70;74;82;85;88;90;93
2,2247,10122,1273,0,0.0,434,0.434,3;11;13;14;15;17;18;19;24;26;30;32;42;54;58;60;61;69;77;88;90;97;98;99
3,2222,8964,1178,0,0.0,470,0.47,3;4;6;13;15;16;22;24;34;40;48;50;51;52;56;58;59;73;76;81;84;88;89
4,2902,13481,1724,1,0.001,406,0.406,7;9;15;16;20;21;23;26;27;29;35;37;38;43;56;60;62;64;67;69;70;72;73;76;77;78;79;81;84;85;89;94;98
5,2319,15935,1981,1,0.001,146,0.146,7;10;11;12;18;19;20;24;26;27;28;30;32;33;35;38;39;45;47;53;55;56;57;66;69;75;77;80;83;85;87;88;90;94;96;97;98
6,2559,12607,1643,2,0.002,358,0.358,4;6;9;10;13;17;20;21;24;26;30;33;35;38;39;40;44;46;50;56;62;63;67;70;72;74;76;80;83;95;96;98
7,2907,14111,1790,2,0.002,385,0.385,1;5;7;11;12;16;17;18;19;22;27;29;33;35;40;42;48;49;56;59;64;71;76;80;81;86;87;88;89;91;93;94;97;98
8,2524,12100,1529,1,0.001,396,0.396,3;7;9;10;11;15;16;19;23;25;26;29;31;33;34;40;43;53;55;62;64;66;68;74;80;92;93;95;96
9,1791,11633,1503,2,0.002,161,0.161,1;2;3;4;8;10;11;12;13;15;18;19;33;36;37;44;49;51;53;58;59;61;69;81;85;86;91;92;97
10,3645,22389,2721,52,0.052,254,0.254,1;3;8;9;10;11;12;13;16;20;22;25;26;27;28;29;30;32;33;35;36;37;38;39;40;42;43;44;46;47;48;49;54;55;58;59;60;64;66;67;68;70;74;76;83;87;88;89;94;95
11,2518,9547,1240,15,0.015,508,0.508,0;3;6;21;22;40;47;51;55;56;60;61;62;63;67;68;70;76;77;79;80;83;84;97
12,2551,13695,1740,2,0.002,318,0.318,3;8;15;16;17;21;23;29;33;34;35;37;39;41;48;53;55;57;59;62;63;65;68;71;73;74;75;79;81;82;88;92;99
13,1760,5574,724,2,0.002,589,0.589,2;22;30;46;47;50;51;52;70;76;94;96;98;99
14,3250,12923,1636,4,0.004,497,0.497,5;7;17;18;20;21;24;25;28;30;35;44;47;52;53;56;57;60;62;68;73;74;77;84;85;86;87;88;89;91;95
15,1458,1487,202,0,0.0,862,0.862,1;37;70;95
16,1509,10543,1353,23,0.023,104,0.104,5;6;10;12;14;22;28;29;31;35;46;48;55;59;63;64;68;72;76;77;89;91;93;96;98;99
17,2070,10562,1327,4,0.004,359,0.359,2;8;10;13;14;15;19;23;40;44;46;51;52;54;55;57;58;59;60;61;75;76;80;83;88
18,2048,8818,1170,5,0.005,430,0.43,5;6;9;10;15;23;26;34;40;41;50;53;55;57;60;62;64;65;66;82;91;92;96
19,2784,17328,2204,7,0.007,210,0.21,0;4;7;9;10;13;14;15;21;23;29;32;34;37;38;39;41;43;50;56;57;58;59;60;62;64;66;68;69;71;74;76;77;80;82;84;85;86;87;88;90;99
20,2826,16241,2025,15,0.015,285,0.285,2;3;6;7;10;13;24;27;30;33;34;35;38;39;40;45;46;50;52;53;56;63;65;70;71;72;74;75;82;84;85;87;91;92;93;95;97;99
21,3199,20873,2637,14,0.014,176,0.176,1;2;4;5;6;8;9;11;14;17;18;19;21;22;23;24;31;32;35;36;37;38;40;41;44;45;47;50;51;53;56;59;64;66;69;73;75;77;78;80;81;82;85;87;88;92;93;95;97;98
22,1607,6222,818,7,0.007,491,0.491,6;8;10;18;22;38;39;48;56;58;68;70;71;88;93;94
23,2392,11214,1421,17,0.017,406,0.406,1;2;4;6;8;10;14;28;30;32;35;39;44;47;49;52;54;60;62;65;75;76;82;83;85;88;98
24,3120,18479,2326,11,0.011,256,0.256,4;5;7;9;12;16;17;19;21;22;23;25;27;28;30;32;33;37;38;45;46;47;49;50;52;54;55;56;57;59;65;68;70;71;73;75;76;79;81;82;83;85;93;97
