task,assigned_antenna_stage2
0,0
1,3
2,3
3,0
4,1
5,0
6,2
7,1
8,3
9,2
10,3
11,3
12,3
13,3
14,2
15,3
16,2
17,2
18,0
19,0
20,1
21,3
22,2
23,0
24,2
25,3
26,2
27,0
28,0
29,1
30,0
31,0
32,3
33,0
34,1
35,1
36,1
37,2
38,3
39,2
40,0
41,2
42,2
43,2
44,3
45,3
46,1
47,2
48,3
49,1
50,1
51,1
52,1
53,2
54,3
55,0
56,0
57,0
58,1
59,2
60,1
61,3
62,0
63,1
64,1
65,0
66,2
67,2
68,0
69,2
70,3
71,0
72,0
73,3
74,2
75,3
76,1
77,1
78,2
79,0
80,0
81,0
82,1
83,1
84,2
85,2
86,3
87,2
88,3
89,2
90,3
91,0
92,0
93,0
94,3
95,3
96,1
97,1
98,0
99,2
