task,start_s,duration_s,assigned_antenna_stage3
0,30179,2023,3
1,36117,2424,3
2,28104,2185,3
3,38431,2471,3
4,12020,2592,3
5,5351,2676,3
6,40792,2334,3
7,14502,2594,3
8,32092,3980,3
9,23082,2274,3
10,24180,2791,2
11,25291,2923,3
12,35931,1587,0
13,19799,1091,3
14,39547,3574,0
15,0,1262,0
16,33699,2027,2
17,12946,1958,1
18,21104,3186,2
19,10572,2606,2
20,40096,3058,2
21,15406,1432,2
22,20780,2412,3
23,2600,2789,1
24,13068,2448,2
25,18450,2609,2
26,5279,2314,1
27,32230,1579,2
28,16986,2923,3
29,26861,3537,2
30,0,2412,3
31,35616,1732,2
32,16728,1832,2
33,5139,2932,0
34,747,3334,2
35,8169,2513,2
36,37563,2643,2
37,37257,2500,1
38,10694,2362,1
39,20568,2594,1
40,0,2710,1
41,30020,2159,1
42,34692,2675,1
43,2457,2792,0
44,39702,3446,1
45,32069,2578,1
46,23052,2785,1
47,16505,2515,1
48,3971,2096,2
49,1152,1238,0
50,25727,2210,1
51,18910,1768,1
52,14794,1666,1
53,20433,1976,0
54,7917,2072,3
55,25136,2149,0
56,3763,1698,3
57,8072,2014,0
58,12248,2962,0
59,7483,3321,1
60,27827,2303,1
61,10131,1999,3
62,29113,2605,0
63,5957,2322,2
64,34207,1834,0
65,30288,2052,2
66,9976,2382,0
67,37412,2245,0
68,2302,1571,3
69,15100,3024,0
70,31608,2709,0
71,27175,1893,0
72,18014,2529,0
73,22299,2947,0
74,0,857,2
